NOMBRE DEL SENADOR,PARTIDO O COALICION
Diana Carolina Corcho Mejía,Pacto Histórico
Pedro Hernando Flórez Porras,Pacto Histórico
Carmen Patricia Caicedo Omar,Pacto Histórico
Wilson Néber Arias Castillo,Pacto Histórico
Laura Cristina Ahumada García,Pacto Histórico
Walter Alfonso Rodríguez Chaparro,Pacto Histórico
Aída Yolanda Avella Esquivel,Pacto Histórico
Ferney Silva Idrobo,Pacto Histórico
Yuly Esmeralda Hernández Silva,Pacto Histórico
Carlos Alberto Benavides Mora,Pacto Histórico
Sandra Claudia Chindoy Jamioy,Pacto Histórico
Jorge Alejandro Ocampo Giraldo,Pacto Histórico
María Eugenia Londoño Ocampo,Pacto Histórico
Alex Xavier Flórez Hernández,Pacto Histórico
Kamelia Edith Zuluaga Navarro,Pacto Histórico
Agmeth José Escaf Tijerino,Pacto Histórico
Yaini Isabel Contreras Jiménez,Pacto Histórico
Cristian Kevin Gómez Paz,Pacto Histórico
Isabel Cristina Zuleta López,Pacto Histórico
Martín Alonso Caicedo Carabalí,Pacto Histórico
Deisy Johana Osorio Márquez,Pacto Histórico
David Ricardo Racero Mayorca,Pacto Histórico
Deyci Alejandra Omaña Ortiz,Pacto Histórico
Orlando Miguel De La Hoz García,Pacto Histórico
Mary Jurado Palomino,Pacto Histórico
Andrés Eduardo Forero Molina,Centro Democrático
Rafael Nieto Loaiza,Centro Democrático
Claudia Margarita Zuleta Murgas,Centro Democrático
Hernán Darío Cadavid Márquez,Centro Democrático
Julia Correa Nuttin,Centro Democrático
Carlos Manuel Meisel Vergara,Centro Democrático
Christian Munir Garcés Aljure,Centro Democrático
María Clara Posada Caicedo,Centro Democrático
Honorio Miguel Henríquez Pinedo,Centro Democrático
Josué Alirio Barrera Rodríguez,Centro Democrático
Esteban Quintero Cardona,Centro Democrático
Enrique Cabrales Baquero,Centro Democrático
Óscar Leonardo Villamizar Meneses,Centro Democrático
Juan Fernando Espinal Ramírez,Centro Democrático
María Angélica Guerra López,Centro Democrático
Juan Fernando Caicedo Callejas,Centro Democrático
Zandra María Bernal Rincón,Centro Democrático
Lidio Arturo García Turbay,Partido Liberal
Yessid Enrique Pulgar Daza,Partido Liberal
María Eugenia Lopera Monsalve,Partido Liberal
Alix Yirley Vargas Torrado,Partido Liberal
Gersson Vargas Valdeleón,Partido Liberal
Camilo Andrés Torres Villalba,Partido Liberal
Leonardo de Jesús Gallego Arroyave,Partido Liberal
Óscar Hernán Sánchez León,Partido Liberal
Héctor Olimpo Espinosa Oliver,Partido Liberal
Fabio Raúl Amín Saleme,Partido Liberal
Santiago Montoya Montoya,Partido Liberal
Álvaro Henry Monedero Rivera,Partido Liberal
Laura Ester Fortich Sánchez,Partido Liberal
Jonathan Ferney Pulido Hernández,Alianza por Colombia
Luis Carlos Rúa Sánchez,Alianza por Colombia
Andrea Padilla Villarraga,Alianza por Colombia
John Edickson Amaya Rodríguez,Alianza por Colombia
Ariel Fernando Ávila Martínez,Alianza por Colombia
Gustavo Adolfo Moreno Hurtado,Alianza por Colombia
José Gutemberg Macea Gómez,Alianza por Colombia
Duvalier Sánchez Arango,Alianza por Colombia
Wilder Iberson Escobar Ortiz,Alianza por Colombia
Luis Alfonso Mejía Núñez,Alianza por Colombia
Carlos Eduardo Enríquez Caicedo,Alianza por Colombia
Nadya Georgette Blel Scaff,Partido Conservador
Wadith Alberto Manzur Imbett,Partido Conservador
Daniel Restrepo Carmona,Partido Conservador
David Alejandro Barguil Assis,Partido Conservador
Miguel Ángel Barreto Castillo,Partido Conservador
Diela Liliana Benavides Solarte,Partido Conservador
Marcos Daniel Pineda García,Partido Conservador
Luis Eduardo Díaz Mateus,Partido Conservador
Juan Carlos García Gómez,Partido Conservador
Santiago Barreto Triana,Partido Conservador
Norma Hurtado Sánchez,Partido de la U
Juan Carlos Garcés Rojas,Partido de la U
Wilmer Ramiro Carrillo Mendoza,Partido de la U
Alfredo Rafael Deluque Zuleta,Partido de la U
John Moisés Besaile Fayad,Partido de la U
Ana Paola García Soto,Partido de la U
María Irma Noreña Arboleda,Partido de la U
Antonio José Correa Jiménez,Partido de la U
José Alfredo Gnecco Zuleta,Partido de la U
Edgardo Miguel Espitia Cabrales,Cambio Radical y ALMA
José Nicolás Gómez Medina,Cambio Radical y ALMA
Selmen David Arana Cano,Cambio Radical y ALMA
Didier Lobo Chinchilla,Cambio Radical y ALMA
Gonzalo Dimas Baute González,Cambio Radical y ALMA
Carlos Mario Farelo Daza,Cambio Radical y ALMA
Nelson Javier López Rodríguez,Cambio Radical y ALMA
Ana Paola Agudelo García,Ahora Colombia
Manuel Antonio Vírguez Piraquive,Ahora Colombia
Carlos Eduardo Guevara Villabón,Ahora Colombia
Jennifer Dalley Pedraza Sandoval,Ahora Colombia
María Lucía Villalba Gómez,Ahora Colombia
Enrique Gómez Martínez,Movimiento Salvación Nacional
Sara Jimena Castellanos Rodríguez,Movimiento Salvación Nacional
Germán Andrés Rodríguez Prieto,Movimiento Salvación Nacional
John Alejandro Bermeo Rodríguez,Movimiento Salvación Nacional
Martha Isabel Peralta Epieyú,Circunscripción Indígena
José Wilman Tumbo Chepe,Circunscripción Indígena
N/A (Reservado),Estatuto de Oposición
